path,label,class_name,stage,gt_prob,pred_prob,pred,correct,entropy,gate
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\232.jpg,4,sadness,low_0.15,0.540330708026886,0.540330708026886,4,1,1.2636126279830933,0.012650647200644016
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\232.jpg,0,anger,low_0.15,0.30245041847229004,0.30245041847229004,0,1,1.5761117935180664,0.0052180238999426365
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\232.jpg,5,surprise,low_0.15,0.0612487755715847,0.4593978226184845,2,0,1.4012941122055054,0.00047291460214182734
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\232.jpg,1,disgust,low_0.15,0.08498255163431168,0.367025226354599,4,0,1.4583847522735596,0.005402478389441967
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\232.jpg,2,fear,low_0.15,0.5123507976531982,0.5123507976531982,2,1,1.142122745513916,0.0022696100641041994
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\233.jpg,2,fear,low_0.15,0.6123104691505432,0.6123104691505432,2,1,1.0501070022583008,0.0009449215140193701
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\233.jpg,0,anger,low_0.15,0.19652828574180603,0.7131951451301575,2,0,0.8950464725494385,0.00469085481017828
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\233.jpg,1,disgust,low_0.15,0.6911638975143433,0.6911638975143433,1,1,1.0428383350372314,0.003934454172849655
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\232.jpg,3,joy,low_0.15,0.04461732506752014,0.47140368819236755,2,0,1.415130376815796,0.0008847896242514253
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\234.jpg,0,anger,low_0.15,0.3750341832637787,0.3750341832637787,0,1,1.4462419748306274,0.0002138879499398172
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\233.jpg,5,surprise,low_0.15,0.20924045145511627,0.3124084174633026,2,0,1.666187047958374,0.002085009589791298
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\233.jpg,4,sadness,low_0.15,0.9363651871681213,0.9363651871681213,4,1,0.28500866889953613,0.006309836637228727
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\233.jpg,3,joy,low_0.15,0.1079496368765831,0.597795307636261,2,0,1.2449254989624023,0.0009475193219259381
