path,label,class_name,stage,gt_prob,pred_prob,pred,correct,entropy,gate
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\232.jpg,4,sadness,low_0.15,0.5725052356719971,0.5725052356719971,4,1,1.1864529848098755,0.6099671125411987
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\232.jpg,0,anger,low_0.15,0.4076686203479767,0.4076686203479767,0,1,1.397341251373291,0.29042020440101624
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\232.jpg,5,surprise,low_0.15,0.033772215247154236,0.4711587727069855,2,0,1.247143030166626,0.06191488355398178
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\232.jpg,1,disgust,low_0.15,0.06837856024503708,0.542880654335022,2,0,1.2609734535217285,0.07107452303171158
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\232.jpg,2,fear,low_0.15,0.45097777247428894,0.4649085998535156,0,0,1.0040256977081299,0.006343182176351547
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\233.jpg,2,fear,low_0.15,0.6420599818229675,0.6420599818229675,2,1,0.9711394309997559,0.03927846625447273
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\233.jpg,0,anger,low_0.15,0.15521787106990814,0.8056421875953674,2,0,0.6428531408309937,0.027056358754634857
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\233.jpg,1,disgust,low_0.15,0.692940890789032,0.692940890789032,1,1,0.9535508155822754,0.04553339257836342
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\232.jpg,3,joy,low_0.15,0.03329310938715935,0.5929038524627686,2,0,1.2133512496948242,0.09087374806404114
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\234.jpg,0,anger,low_0.15,0.3921048939228058,0.4491156339645386,2,0,1.1878068447113037,0.025897152721881866
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\233.jpg,5,surprise,low_0.15,0.08913322538137436,0.542934000492096,2,0,1.3298420906066895,0.06919636577367783
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\233.jpg,4,sadness,low_0.15,0.9607580304145813,0.9607580304145813,4,1,0.1896836757659912,0.4093165099620819
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\233.jpg,3,joy,low_0.15,0.0612797774374485,0.7570418119430542,2,0,0.8734581470489502,0.09234708547592163
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\234.jpg,1,disgust,low_0.15,0.06669259816408157,0.6230939626693726,2,0,1.188020944595337,0.06523298472166061
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\234.jpg,5,surprise,low_0.15,0.06049415469169617,0.42862996459007263,0,0,1.389481782913208,0.2903536558151245
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\234.jpg,2,fear,low_0.15,0.3978253901004791,0.4112941324710846,0,0,1.190578818321228,0.04461892321705818
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\234.jpg,3,joy,low_0.15,0.3346393406391144,0.3346393406391144,3,1,1.5838074684143066,0.23562470078468323
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\234.jpg,4,sadness,low_0.15,0.1728297472000122,0.6398958563804626,2,0,1.0763916969299316,0.18730995059013367
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\235.jpg,0,anger,low_0.15,0.6519663333892822,0.6519663333892822,0,1,0.7944866418838501,0.011435904540121555
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\236.jpg,0,anger,low_0.15,0.8941677808761597,0.8941677808761597,0,1,0.39819177985191345,0.019057832658290863
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\235.jpg,3,joy,low_0.15,0.28913047909736633,0.3076769709587097,2,0,1.5217509269714355,0.2768516540527344
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\235.jpg,1,disgust,low_0.15,0.5448004007339478,0.5448004007339478,1,1,1.1824249029159546,0.06966594606637955
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\235.jpg,2,fear,low_0.15,0.7261367440223694,0.7261367440223694,2,1,0.8984897136688232,0.10215921700000763
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\235.jpg,4,sadness,low_0.15,0.015291337855160236,0.921136200428009,2,0,0.3476997911930084,0.10414888709783554
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\236.jpg,1,disgust,low_0.15,0.024443944916129112,0.5435622930526733,2,0,1.227516531944275,0.07127484679222107
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\235.jpg,5,surprise,low_0.15,0.37541502714157104,0.37541502714157104,5,1,1.3180344104766846,0.26301026344299316
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\236.jpg,2,fear,low_0.15,0.8921246528625488,0.8921246528625488,2,1,0.4519413411617279,0.07151295244693756
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\236.jpg,5,surprise,low_0.15,0.15497200191020966,0.5855973362922668,2,0,1.2222139835357666,0.2791718542575836
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\236.jpg,3,joy,low_0.15,0.6531097292900085,0.6531097292900085,3,1,1.0086350440979004,0.15223410725593567
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\237.jpg,5,surprise,low_0.15,0.054139357060194016,0.8421830534934998,2,0,0.6561750173568726,0.05088106542825699
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\237.jpg,2,fear,low_0.15,0.6029083132743835,0.6029083132743835,2,1,1.1407370567321777,0.06446866691112518
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\237.jpg,0,anger,low_0.15,0.4260781705379486,0.4260781705379486,0,1,1.1552577018737793,0.14961734414100647
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\232.jpg,4,sadness,low_0.30,0.6021718382835388,0.6021718382835388,4,1,1.0585778951644897,0.4667680561542511
